UserID,Train
1,"[2762, 1246, 2918, 531, 3114, 2791, 1029, 594, 2398, 1545, 527, 595, 588, 1]"
2,"[2396, 356, 589, 2028, 2571, 457, 1610, 480, 163, 380, 3418, 349, 1527, 2353]"
3,"[480, 1615, 653, 733, 2006, 2470, 2115, 1049, 552, 2735, 1136, 3421, 1394, 1304]"
4,"[0, 0, 1097, 3468, 480, 260, 1198, 1387, 2028, 2366, 1201, 2692, 2947, 1214]"
5,"[1535, 1759, 1517, 1885, 1392, 1610, 1732, 1729, 509, 348, 515, 1715, 506, 377]"
6,"[1380, 1035, 3604, 1947, 914, 1028, 368, 383, 266, 3074, 3578, 3753, 3536, 3408]"
7,"[1997, 3753, 1610, 589, 2571, 457, 110, 2028, 2916, 6, 733, 474, 1580, 861]"
8,"[3186, 1653, 650, 253, 1589, 24, 269, 151, 465, 3259, 1836, 266, 230, 1701]"
9,"[1721, 778, 1060, 300, 1777, 2890, 1682, 994, 1921, 590, 480, 2302, 2268, 529]"
10,"[1240, 1023, 1035, 1233, 3347, 1292, 527, 1022, 2087, 2717, 2498, 1831, 3593, 275]"
11,"[2174, 1197, 3448, 3608, 2109, 3129, 2795, 3809, 2746, 104, 1777, 1732, 1753, 663]"
12,"[0, 0, 0, 0, 0, 0, 999, 3265, 1303, 1198, 3897, 858, 1221, 919]"
13,"[329, 736, 1544, 1262, 1198, 919, 1204, 1287, 260, 1259, 590, 1210, 3479, 1374]"
14,"[0, 0, 0, 0, 0, 0, 0, 3033, 2920, 2997, 3578, 2686, 2692, 2762]"
15,"[593, 1619, 161, 1213, 1466, 367, 1805, 1804, 2389, 1892, 648, 1422, 1597, 3489]"
16,"[0, 0, 0, 0, 0, 0, 0, 1269, 1682, 2572, 2683, 2699, 2355, 2975]"
17,"[2657, 2011, 1580, 2105, 3927, 2985, 3033, 1019, 780, 3156, 2377, 610, 2021, 2116]"
18,"[1784, 1357, 3255, 3108, 3252, 302, 1639, 412, 1271, 1643, 1721, 475, 2573, 249]"
19,"[785, 3174, 3752, 2502, 1215, 111, 32, 2918, 480, 589, 2858, 2836, 1961, 1148]"
20,"[0, 2028, 1617, 47, 3578, 648, 70, 589, 1912, 2571, 457, 110, 1923, 2858]"
21,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,"[429, 2195, 555, 733, 485, 2161, 2193, 2005, 1127, 678, 1198, 1291, 1884, 2046]"
23,"[2762, 1218, 1267, 1036, 1994, 1625, 3505, 16, 377, 3510, 911, 1258, 1204, 1222]"
24,"[902, 3685, 50, 260, 919, 1198, 2987, 1291, 3175, 1073, 3699, 2640, 592, 858]"
25,"[2012, 1580, 3156, 1573, 2011, 1291, 1205, 1676, 1917, 2501, 150, 1610, 1704, 546]"
26,"[499, 3261, 3152, 2409, 2528, 3506, 1084, 902, 1179, 198, 1876, 16, 3614, 45]"
27,"[1294, 3037, 260, 2174, 1097, 1073, 923, 1237, 912, 1217, 3469, 908, 1207, 318]"
28,"[3334, 778, 1956, 2282, 1244, 1968, 39, 1179, 2321, 906, 2947, 1660, 2858, 551]"
29,"[3527, 3702, 3753, 2490, 288, 3726, 480, 353, 3740, 2991, 2993, 2406, 2527, 610]"
30,"[3943, 318, 17, 527, 593, 2028, 1617, 1041, 2858, 50, 1176, 2762, 2997, 2571]"
31,"[955, 2001, 440, 898, 3039, 3671, 3516, 2208, 933, 3363, 3397, 2371, 3028, 1125]"
32,"[2020, 1088, 2959, 32, 2762, 1208, 3787, 1296, 1250, 2108, 3079, 593, 745, 1358]"
33,"[3836, 2983, 3363, 3204, 1061, 1084, 1635, 474, 3105, 2467, 586, 36, 1834, 2640]"
34,"[353, 2424, 1735, 2572, 497, 1835, 838, 2581, 339, 1441, 543, 1722, 708, 605]"
35,"[3566, 3852, 1148, 2692, 969, 28, 911, 2708, 1197, 915, 1210, 838, 2100, 2171]"
